N,Average Comparisons,Average Substitutions,Average Height,Max Comparisons,Max Substitutions,Max Height
10000,200152967,75068969,10000,200885270,75435124,10000
20000,800237260,300103614,20000,801454234,300712101,20000
30000,1800118021,675036494,30000,1802628691,676291830,30000
40000,3199810452,1199875209,40000,3204118834,1202029398,40000
50000,5001749769,1875837367,50000,5008515849,1879220408,50000
60000,7199533846,2699721905,60000,7209852303,2704881136,60000
70000,9798674305,3674284636,70000,9809537759,3679716362,70000
80000,12800066640,4799973302,80000,12812529865,4806204913,80000
90000,16201252108,6075558537,90000,16214038634,6081951800,90000
100000,19997556878,7498703422,100000,20021942728,7510896350,100000
